,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,-11.9,7.8,18.4,32.0,49.0,62.0,65.9,63.5,57.1,45.9,20.3,8.8,North_Dakota
1,1951,2.0,10.7,11.7,38.2,56.1,58.3,68.0,63.5,52.4,41.2,20.6,4.7,North_Dakota
2,1952,1.7,16.5,17.4,47.8,55.0,64.8,67.7,66.9,60.5,42.3,29.0,18.0,North_Dakota
3,1953,13.1,18.0,25.6,35.7,51.4,62.7,67.9,69.1,57.2,51.0,34.0,19.0,North_Dakota
4,1954,-2.0,29.6,22.3,38.6,49.6,61.0,70.2,65.9,54.9,43.1,34.4,22.1,North_Dakota
5,1955,10.2,6.7,18.4,47.6,57.2,61.8,71.2,70.7,56.1,46.5,14.3,4.4,North_Dakota
6,1956,5.3,7.8,21.2,34.8,53.1,68.2,66.0,66.0,54.0,47.6,28.2,17.0,North_Dakota
7,1957,1.0,12.0,26.2,39.7,54.1,60.8,73.0,66.6,54.3,43.2,28.1,21.7,North_Dakota
8,1958,17.3,10.6,25.8,43.4,57.4,58.6,64.8,68.9,57.7,46.0,26.4,10.6,North_Dakota
9,1959,2.3,5.6,30.9,41.0,51.4,66.1,70.2,70.0,55.3,37.9,19.6,23.3,North_Dakota
10,1960,7.2,10.3,16.6,40.7,54.2,61.3,71.6,68.3,58.8,45.7,27.2,13.2,North_Dakota
11,1961,12.0,17.8,32.0,36.9,52.0,68.2,69.0,72.4,52.5,45.2,27.8,7.2,North_Dakota
12,1962,6.3,7.0,20.5,41.4,52.5,63.6,65.3,67.8,54.9,47.9,33.5,17.4,North_Dakota
13,1963,1.4,13.7,32.4,41.8,52.4,66.1,71.1,68.3,60.9,54.8,31.5,8.8,North_Dakota
14,1964,14.8,19.7,19.4,43.6,56.4,62.2,71.0,64.2,53.4,45.5,24.9,1.9,North_Dakota
15,1965,1.2,8.6,13.7,39.8,52.8,62.4,68.0,65.9,45.4,47.7,25.9,20.3,North_Dakota
16,1966,-5.8,8.0,30.3,35.8,51.8,63.3,71.9,64.3,58.3,44.6,20.9,13.7,North_Dakota
17,1967,10.6,7.6,25.3,37.4,49.2,61.4,68.3,67.2,59.9,43.3,27.9,13.3,North_Dakota
18,1968,6.7,11.4,33.5,41.4,49.8,61.1,67.5,63.8,56.9,44.7,29.0,7.8,North_Dakota
19,1969,-3.5,12.0,16.8,44.6,54.7,56.9,67.1,71.5,59.0,38.5,30.4,16.6,North_Dakota
20,1970,1.4,13.3,17.6,36.9,51.7,67.1,70.8,68.7,57.0,42.8,24.7,9.2,North_Dakota
21,1971,-0.2,12.4,25.0,42.4,52.8,64.7,65.0,70.0,56.0,44.1,27.5,9.1,North_Dakota
22,1972,1.9,6.1,24.2,39.2,56.6,64.3,64.5,68.5,53.6,40.1,25.7,6.1,North_Dakota
