date,January,February,March,April,May,June,July,August,September,October,November,December
1950,10.11,5.25,3.41,5.00,3.06,5.58,3.88,3.42,5.28,1.48,5.10,2.27
1951,3.29,3.49,3.56,3.53,3.34,4.67,3.99,2.49,2.63,2.78,4.00,4.64
1952,3.42,2.42,4.56,3.87,4.23,4.83,2.45,2.95,3.36,1.11,2.72,2.58
1953,3.06,1.39,4.40,3.28,3.92,2.81,4.44,1.91,1.17,1.26,1.35,1.85
1954,2.70,2.45,2.59,3.64,2.78,3.02,3.16,4.83,1.72,6.15,1.42,2.75
1955,2.09,3.17,3.95,3.70,3.77,3.26,4.61,2.45,4.21,4.65,4.19,0.58
1956,1.49,4.20,2.49,3.90,5.42,3.33,3.63,2.88,1.50,1.05,2.28,3.04
1957,2.48,2.12,1.71,6.77,5.72,7.20,4.21,2.73,2.56,3.43,4.35,5.67
1958,1.59,0.77,1.55,2.83,3.70,8.14,8.02,4.16,3.54,1.46,3.99,0.55
1959,4.63,3.27,2.70,4.04,4.34,2.41,3.84,2.96,3.47,3.93,2.88,2.82
1960,2.37,3.10,1.41,2.29,4.35,5.97,3.30,3.16,1.59,1.95,2.39,1.63
1961,0.87,2.76,5.10,4.92,5.35,4.00,4.76,3.17,3.62,2.37,3.05,2.69
1962,3.76,3.04,2.94,1.33,4.48,3.09,5.63,3.10,2.49,3.03,1.46,1.17
1963,0.98,0.77,6.65,3.20,2.85,2.46,5.24,2.75,0.81,0.45,2.03,0.92
1964,1.80,1.44,7.26,6.22,1.60,4.10,4.09,1.91,2.07,0.47,2.31,2.94
1965,3.73,3.42,2.60,4.79,2.46,3.08,3.67,4.11,5.63,2.62,1.35,2.46
1966,1.89,2.41,1.71,4.65,3.33,2.14,2.98,3.14,3.76,1.55,4.66,4.97
1967,1.74,1.67,3.44,4.13,4.79,2.86,2.62,2.48,1.70,4.54,2.97,5.94
1968,2.18,1.56,2.74,3.50,6.98,4.08,3.84,4.20,2.77,1.46,4.51,3.84
1969,5.09,0.80,1.77,4.31,3.29,4.73,6.04,2.26,3.38,3.83,3.46,1.92
1970,0.99,1.35,3.14,6.09,3.49,3.86,4.40,2.61,4.25,3.92,2.38,1.84
1971,1.66,4.05,1.67,1.30,4.11,3.96,5.12,2.40,4.68,2.11,1.36,4.69
1972,1.48,1.32,3.03,6.57,3.36,3.30,3.51,3.35,6.41,2.54,5.25,3.84
1973,1.85,1.19,5.81,4.48,3.57,6.10,5.41,3.13,1.74,2.71,4.57,3.83
1974,3.52,2.04,4.07,3.47,6.37,4.15,1.31,5.17,4.34,1.59,3.29,2.78
1975,3.84,3.46,4.18,4.23,3.66,5.15,2.39,5.53,2.70,2.83,3.24,3.49
1976,2.44,2.82,3.73,1.69,3.44,5.13,3.65,2.28,2.81,3.08,0.97,0.58
1977,1.30,1.96,4.93,3.16,2.45,3.95,3.68,6.85,3.83,3.63,2.83,3.79
1978,2.81,0.48,3.13,3.83,4.17,3.22,5.14,5.26,1.39,2.78,3.18,3.90
1979,3.52,2.30,3.27,4.49,3.19,3.92,8.05,6.09,1.64,2.68,5.26,2.49
1980,1.35,1.53,4.23,2.71,3.25,5.32,3.97,5.24,3.11,2.30,1.46,1.53
1981,0.42,2.53,1.26,5.69,7.32,4.46,4.94,4.11,3.30,2.54,1.82,2.82
1982,5.33,1.80,4.49,2.51,4.60,4.26,3.72,3.54,2.57,1.61,4.96,5.49
1983,1.12,0.97,2.57,5.66,6.58,3.25,2.24,2.45,1.72,5.86,4.55,3.74
1984,0.90,1.84,3.64,4.81,4.93,2.04,3.78,2.21,4.01,3.97,4.52,3.94
1985,1.88,3.60,5.32,2.13,3.94,3.58,3.14,5.45,1.93,3.91,8.20,2.37
1986,0.74,3.09,2.70,2.39,4.93,4.36,5.51,2.50,4.68,4.40,2.43,1.94
1987,1.54,0.88,2.25,2.71,3.38,4.54,5.39,3.27,1.91,1.71,2.75,4.54
1988,1.77,3.11,3.07,2.99,1.54,0.69,4.20,2.92,2.74,3.35,5.33,2.54
1989,2.39,2.65,4.35,4.29,5.23,3.67,5.39,4.34,4.95,1.92,2.76,1.48
1990,2.30,5.28,2.85,2.89,7.49,4.60,4.87,5.13,2.59,5.14,3.38,7.02
1991,2.01,1.88,4.46,3.63,4.03,1.54,2.44,3.25,2.34,5.14,3.16,2.43
1992,1.54,1.24,3.15,3.42,2.46,2.87,8.55,2.97,4.62,1.68,5.80,2.04
1993,3.81,2.02,2.80,4.74,3.55,5.80,4.37,4.39,6.24,3.32,5.43,2.12
1994,2.67,1.40,1.37,5.70,2.68,4.18,3.37,3.46,2.38,1.40,4.51,2.44
1995,2.86,1.18,2.57,4.51,7.26,3.98,2.83,4.30,1.07,2.99,2.69,2.02
1996,3.12,1.20,2.58,6.64,7.65,5.03,5.08,1.62,4.94,2.22,4.14,3.45
1997,3.04,3.28,4.81,2.07,5.71,5.50,2.95,3.96,2.26,1.61,2.61,2.00
1998,3.04,1.82,4.24,6.06,4.59,7.74,4.96,3.58,1.06,3.55,2.20,2.04
1999,4.92,3.41,2.00,4.90,3.12,4.13,2.70,2.24,1.36,2.02,1.06,3.18
2000,2.54,3.46,2.20,3.23,4.53,6.21,3.89,4.41,4.61,2.33,2.98,3.01
2001,1.02,2.86,0.97,2.75,4.32,4.09,5.46,4.02,3.76,7.75,3.34,3.62
2002,2.24,2.32,4.38,5.59,7.09,3.28,2.64,2.82,3.75,2.87,2.35,2.86
2003,1.42,2.74,2.16,3.00,6.56,3.26,8.18,3.54,6.20,2.40,4.26,2.68
2004,3.48,0.83,3.46,1.83,7.17,4.43,5.19,4.85,0.72,4.14,4.73,2.57
2005,7.11,2.25,2.12,3.04,2.57,3.21,4.43,4.76,4.10,1.24,3.91,2.15
2006,3.28,1.62,5.14,4.27,5.25,4.20,4.85,4.76,4.56,5.01,3.25,4.83
2007,4.75,2.43,3.54,4.15,1.75,3.28,3.17,4.55,2.53,3.81,2.77,5.06
2008,3.23,4.81,6.48,3.36,5.68,6.58,4.32,2.01,3.86,2.23,2.11,5.02
2009,1.62,2.80,3.23,5.74,5.67,4.69,4.43,3.76,2.87,6.69,1.46,3.10
2010,1.52,1.48,3.10,3.16,5.49,7.68,4.15,1.84,1.35,1.17,5.01,1.44
2011,1.50,4.21,3.46,9.61,6.51,5.23,2.74,2.55,5.31,3.29,6.21,4.58
2012,3.40,1.54,2.73,2.22,2.75,1.29,2.53,4.05,5.17,3.95,0.98,3.21
2013,4.71,2.21,2.30,6.38,3.71,6.24,3.21,1.84,2.99,4.12,3.04,4.39
2014,2.33,2.64,1.85,5.73,4.23,5.61,3.36,4.96,3.48,4.13,2.66,2.59
2015,2.11,1.40,3.54,4.79,3.98,9.07,6.23,2.57,2.39,2.42,3.57,5.44
2016,1.34,2.78,4.46,4.17,3.53,4.28,5.13,6.48,3.66,2.61,2.58,2.36
2017,3.68,1.35,4.04,4.83,6.90,4.37,6.07,2.26,2.03,4.32,4.43,1.33
2018,2.05,5.91,3.92,3.59,3.42,6.55,3.37,5.33,5.40,2.82,4.32,3.35
2019,3.50,4.45,4.18,5.62,6.02,6.12,3.61,3.51,2.26,4.29,2.70,3.26
2020,4.65,2.81,4.62,3.05,5.07,3.52,4.58,3.31,1.53,4.44,3.02,1.80
2021,2.45,2.21,3.81,2.94,3.77,5.95,5.50,3.42,4.14,6.08,1.44,4.02
